name,genus_id
mariana,21063
mariorika,21063
maximowiczii,21063
meyeri,21063
morrisonicola,21063
moseri,21063
neoveitchii,21063
notha,21063
obovata,21063
omorika,21063
orientalis,21063
pungens,21063
pungsanensis,21063
purpurea,21063
retroflexa,21063
rubens,21063
saaghii,21063
schrenkiana,21063
shennongjianensis,21063
shirasawae,21063
sitchensis,21063
smithiana,21063
spinulosa,21063
torano,21063
wilsonii,21063
albicaulis,21064
alepensis,21064
amamiana,21064
anemophila,21064
araucana,21064
aristata,21064
arizonica,21064
armandii,21064
ascendens,21064
attenuata,21064
attenuradiata,21064
ayacahuite,21064
balfouriana,21064
banksiana,21064
benthamii,21064
bhutanica,21064
brutia,21064
bungeana,21064
canariensis,21064
caribaea,21064
celakovskiorum,21064
cembra,21064
cembroides,21064
cerambycifera,21064
clausa,21064
contorta,21064
coulteri,21064
cubensis,21064
culminicola,21064
dahurica,21064
dalatensis,21064
densata,21064
densiflora,21064
densithunbergii,21064
densithunbergii,21064
devoniana,21064
digenea,21064
dioica,21064
douglasiana,21064
durangensis,21064
echinata,21064
edulis,21064
elliottii,21064
engelmannii,21064
eremitana,21064
fenzeliana,21064
fertilis,21064
flexilis,21064
fragilissima,21064
funebris,21064
galaiana,21064
georginae,21064
gerardiana,21064
ghiesbrechtii,21064
ghiesbreghtii,21064
glabra,21064
greggii,21064
hakkodensis,21064
hakkodensis,21064
halepensipinaster,21064
halepensis,21064
hartwegii,21064
hayatana,21064
heeri,21064
heldreichii,21064
henryi,21064
herrerae,21064
holfordiana,21064
hunnewellii,21064
hwangshanensis,21064
jaliscana,21064
jeffreyi,21064
kesiya,21064
koraiensis,21064
krempfii,21064
kwangshanensis,21064
lambertiana,21064
latteri,21064
lawsonii,21064
leiophylla,21064
litvinovii,21064
longaeva,21064
luchuensis,21064
lumholtzii,21064
luzmariae,21064
massoniana,21064
maximartinezii,21064
maximinoi,21064
merkusii,21064
monophylla,21064
montezumae,21064
monticola,21064
morrisonicola,21064
mugo,21064
muricata,21064
murraybanksiana,21064
naxiorum,21064
neilreichiana,21064
nelsonii,21064
nigra,21064
occidentalis,21064
oocarpa,21064
orthophylla,21064
pallasiana,21064
palustris,21064
parapumila,21064
parviflora,21064
patula,21064
peuce,21064
pinaster,21064
pinceana,21064
pinea,21064
ponderosa,21064
praetermissa,21064
pringlei,21064
pseudostrobus,21064
pseudotaeda,21064
pumila,21064
pungens,21064
quadrifolia,21064
quinquefolia,21064
radiata,21064
reginae-ameliae,21064
remota,21064
resinosa,21064
rhaetica,21064
rigida,21064
rigitaeda,21064
rigitaeda,21064
romaniae,21064
roxburghii,21064
rzedowskii,21064
sabiniana,21064
sebirica,21064
serotina,21064
sibirica,21064
sondereggeri,21064
spuria,21064
squamata,21064
strobiformis,21064
strobus,21064
stylesii,21064
subpatula,21064
sylvestris,21064
tabuliformis,21064
taeda,21064
taiwanensis,21064
tecunumanii,21064
teocote,21064
thunbergii,21064
torreyana,21064
tropicalis,21064
uncinata,21064
vindelica,21064
virginiana,21064
wallichiana,21064
wangii,21064
wettsteinii,21064
xichangensis,21064
yunnanensis,21064
amabilis,21065
japonica,21066
macrocarpa,21066
menziesii,21066
sinensis,21066
griffithii,21067
canadensis,21068
caroliniana,21068
chinensis,21068
diversifolia,21068
dumosa,21068
forrestii,21068
heterophylla,21068
jeffreyi,21068
jeffreyi,21068
mertensiana,21068
sieboldii,21068
thuja,21068
pancheri,21069
sahniana,21069
dawei,21070
falcatus,21070
gracilior,21070
mannii,21070
usambarensis,21070
cinctus,21071
compactus,21071
cumingii,21071
dacrydioides,21071
expansus,21071
imbricatus,21071
kinabaluensis,21071
steupii,21071
vieillardii,21071
araucarioides,21072
balansae,21072
beccarii,21072
comosum,21072
cornwallianum,21072
cupressinum,21072
elatum,21072
ericoides,21072
gibbsiae,21072
gracile,21072
guillauminii,21072
huonense,21072
leptophyllum,21072
lycopodioides,21072
magnum,21072
mayi,21072
mayi,21072
medium,21072
nausoriense,21072
nidulum,21072
novoguineense,21072
pectinatum,21072
spathoides,21072
suprinii,21072
tenuifolium,21072
thuioides,21072
vieillardii,21072
xanthandrum,21072
angustum,21073
falcatum,21073
falciforme,21073
gruezoi,21073
papuanum,21073
sleumeri,21073
taxoides,21073
bidwillii,21074
biformis,21074
kirkii,21074
franklinii,21075
fonkii,21076
intermedius,21076
laxifolius,21076
colensoi,21077
chinense,21078
thevetiiflia,21078
tetragona,21079
arabica,21080
fleuryi,21080
formosensis,21080
maxima,21080
motleyi,21080
nagi,21080
palembanica,21080
wallichiana,21080
ustus,21081
fitzgeraldii,21082
hookeriana,21082
aspleniifolius,21083
hypophyllus,21083
serratifolia,21083
serratifolia,21083
toatoa,21083
trichomanoides,21083
acuminatus,21084
acutifolius,21084
affinis,21084
alba,21084
alpinus,21084
andina,21084
angustifolius,21084
annamiensis,21084
aracensis,21084
archboldii,21084
aristulatus,21084
atjehensis,21084
ballivianensis,21084
barretoi,21084
borneensis,21084
bracteatus,21084
brasiliensis,21084
brassii,21084
brevifolius,21084
brownii,21084
buchholzii,21084
capuronii,21084
celatus,21084
chinensis,21084
chingianus,21084
colombianus,21084
confertus,21084
coriaceus,21084
corralensis,21084
costalis,21084
costaricensis,21084
crassifolius,21084
crassigemmis,21084
cunninghamii,21084
cupressina,21084
decumbens,21084
deflexus,21084
degeneri,21084
dieffenbachii,21084
dispermus,21084
drouynianus,21084
elatus,21084
elongatus,21084
epiphyticus,21084
fasciculus,21084
gibbsii,21084
glaucus,21084
globulus,21084
glomeratus,21084
gnidioides,21084
grayae,21084
guatemalensis,21084
henkelii,21084
hispaniolensis,21084
