name,genus_id
subsphaericarpum,21989
cossonii,21990
latinerve,21990
pellucida,21990
revolvens,21990
badium,21991
wickesii,21991
alpestris,21992
cochlearifolia,21992
duriuscula,21992
mollis,21992
montana,21992
norvegica,21992
smithii,21992
tatrensis,21992
varia,21993
commutata,21994
decipiens,21994
falcata,21994
pluristratosa,21994
scoticus,21995
acuminata,21996
baicalensis,21996
confervoides,21996
densissima,21996
fauriei,21996
hattorii,21996
jungermannioides,21996
madurensis,21996
minutissima,21996
sinensi-subtilis,21996
spuriosubtilis,21996
subtilis,21996
yuennanensis,21996
alpinum,21997
circulifolium,21997
lescurii,21998
lescurii,21999
subtile,22000
angustifolium,22001
brevifolium,22001
longicuspis,22001
lycopodioides,22001
trifarium,22001
turgescens,22001
radicale,22002
eugyrium,22003
purpurascens,22003
subeugyrium,22003
lacustris,22004
contigua,22005
fertilis,22005
georgicouncinata,22005
orthothecioides,22005
uncinata,22005
exannulatum,22006
luipichense,22006
procerum,22006
pseudosarmentosum,22006
sarmentosum,22006
trichophyllum,22006
tundrae,22006
aomoriensis,22007
japonica,22007
bartlettii,22008
longifolia,22008
brevifolia,22009
nipponensis,22009
sinensis,22009
cossonii,22010
revolvens,22010
scorpioides,22010
turfaceum,22010
confervoides,22011
sprucei,22011
satoi,22012
stramineum,22013
bartlettii,22014
elimbata,22014
pachyloma,22014
salina,22014
austrostraminea,22015
crassicostata,22015
exannulata,22015
fluitans,22015
fontinaliopsis,22015
h-schulzei,22015
kurilensis,22015
laculosa,22015
luipichensis,22015
orthophylla,22015
procera,22015
pseudorufescens,22015
pseudosarmentosa,22015
pseudostraminea,22015
purpurascens,22015
rotae,22015
sarmentosa,22015
schulzei,22015
serrata,22015
stenophylla,22015
trichophylla,22015
tundrae,22015
bifida,22016
longissima,22016
orcadensis,22016
sikkimensis,22016
acuminatum,22017
adulterinum,22017
alpinum,22017
ancamptum,22017
antidens,22017
appendiculatum,22017
aspertifolium,22017
assimile,22017
auritum,22017
austroamericanum,22017
bidens,22017
bifidum,22017
bolivianum,22017
borneense,22017
calocystum,22017
capillaceum,22017
cavifolium,22017
cephalozioides,22017
ciliatum,22017
conforme,22017
coriaceum,22017
crebrifolium,22017
cucullifolium,22017
cuspidatum,22017
decurrens,22017
decurvifolium,22017
divergens,22017
donnianum,22017
ellipticum,22017
erectifolium,22017
esenbeckii,22017
fissum,22017
gemmiferum,22017
giganteum,22017
glaziovii,22017
gottscheanum,22017
graeffei,22017
hamatum,22017
harrisanum,22017
hellerianum,22017
hians,22017
imbricatum,22017
inaequale,22017
incrassatum,22017
incumbens,22017
integerrimum,22017
intricatum,22017
involutifolium,22017
japonicum,22017
joergensenii,22017
karstenii,22017
lancilobum,22017
lechleri,22017
leptodictyon,22017
leucocephalum,22017
leucostomum,22017
lignicola,22017
macrophyllum,22017
mandonii,22017
mayebarae,22017
merrillanum,22017
michauxii,22017
microdictyon,22017
minutirete,22017
minutum,22017
monodon,22017
myriocarpum,22017
nardioides,22017
nigrescens,22017
novazelandiae,22017
obtusatum,22017
obtusum,22017
papillosum,22017
paramicola,22017
piligerum,22017
plagiochiloides,22017
prionophyllum,22017
pusillum,22017
recurvifolium,22017
reichardtii,22017
revolutum,22017
revolvens,22017
rigidum,22017
robustum,22017
saxicola,22017
schismoides,22017
semifissum,22017
speciosum,22017
sphenoloboides,22017
squarrosum,22017
stellatum,22017
striolatum,22017
subcomplicatum,22017
sundaicum,22017
tamurae,22017
tasmanicum,22017
tenue,22017
tristanianum,22017
tubulosum,22017
vernicosum,22017
verrucosum,22017
vitiense,22017
yakushimense,22017
atlantica,22018
attenuata,22018
barbata,22018
binsteadii,22018
cavifolia,22018
floerkei,22018
hatcheri,22018
hyperborea,22018
kunzeana,22018
lycopodioides,22018
quadriloba,22018
rubescens,22018
undulifolium,22019
filiformis,22020
hirtellus,22020
perloi,22020
pusillus,22020
quadrifidus,22020
setiformis,22020
squarrosus,22020
hellerianus,22021
koriakensis,22021
tenuis,22021
acutiloba,22022
fascinifera,22022
inflata,22022
marginata,22022
concinna,22023
alboviridis,22024
bicrenatus,22024
decolorans,22024
pumicicola,22024
attenuatus,22025
binsteadii,22025
floerkei,22025
hyperboreus,22025
atlanticus,22026
attenuatus,22026
binsteadii,22026
floerkei,22026
hyperboreus,22026
kunzeanus,22026
quadrilobus,22026
birmensis,22027
giganteus,22027
hamatus,22027
hirtellus,22027
kunzeana,22028
quadrilobus,22029
himalayensis,22030
kitagawae,22030
pearsonii,22030
achrous,22031
acuminatus,22031
cavifolius,22031
flagellaris,22031
minutus,22031
pearcei,22031
saxicola,22031
striolatus,22031
yakushimensis,22031
cavallii,22032
filiformis,22032
pilifera,22032
setiformis,22032
andensis,22033
wilsonii,22033
acuminata,22034
acutifolia,22034
alpina,22034
amblyophylla,22034
angustata,22034
angustifolia,22034
apiculata,22034
appendiculata,22034
arachnoidea,22034
aterrima,22034
atlantica,22034
australis,22034
barbuloides,22034
bistratosa,22034
blyttii,22034
borbonica,22034
brevifolia,22034
brevipes,22034
camerunensis,22034
clavata,22034
cockaynei,22034
cucullata,22034
densifolia,22034
depressinervis,22034
dissitifolia,22034
erythrodictyon,22034
eximia,22034
filiformis,22034
firma,22034
flabellata,22034
flexuosa,22034
fragilis,22034
frigida,22034
fuegiana,22034
gainii,22034
gibbosa,22034
grimmioides,22034
grimsulana,22034
hamulata,22034
hartmanii,22034
heinemannii,22034
heterophylla,22034
huttonii,22034
indica,22034
javanica,22034
jonesii,22034
karsteniana,22034
kilimandscharica,22034
kinabaluensis,22034
lanceolata,22034
laticuspis,22034
latinervis,22034
laxifolia,22034
leiophylla,22034
lorentziana,22034
marginata,22034
megistospora,22034
microphylla,22034
microvaginata,22034
mildbraedii,22034
